"No";"Penjabaran Risiko";"Internal/Eksternal";"Kategori Risiko";"Nama Aset";"Kategori Aset";"Akar Masalah";"Penyebab";"Akibat";"Ancaman";"Kerentanan";"Pengendalian Saat Ini";"Lingkup CIA";"Referensi Pengendalian";"Jenis Risiko";"Tingkat Dampak";"Tingkat Probabilitas";"Tingkat Risiko";"Risk Appetite";"Risk Tolerance";"Annex ISO"
"11";"Insufficient Data Classification dan Data Retention Policy Enforcement";"Internal";"Kepatuhan";"Data Retention & Disposal Rules";"Information";"Absence of formal data classification framework; Inadequate data retention policies; Insufficient data disposal procedures; Lack of automated data lifecycle management";"Organizational complexity dalam multiple business units; Inadequate governance structure; Budget constraints; Lack of awareness tentang regulatory requirements";"Non-compliance dengan GDPR, personal data retention beyond necessary period, increased storage costs, difficulty dalam responding to data subject requests, regulatory fines";"Regulatory Non-Compliance; Data Breach involving Unnecessary Data; Difficulty in Data Retrieval; Unauthorized Data Retention";"Absence of data classification policy; No automated data retention enforcement; Inadequate disposal mechanisms; Insufficient audit controls";"Ad-hoc retention practices; Manual data cleanup";"Kerahasiaan; Ketersediaan";"ISO 27001:2022 A.8.3.2 (Segregation of Networks); A.8.3.3 (Management of Removable Media); A.5.1.2 (Information Security Roles and Responsibilities)";"Kepatuhan & Regulasi";"4";"4";"16";"6";"Dampak ≤ 2; Probabilitas ≤ 2";"A.8.3.2; A.8.3.3; A.5.1.2"
"12";"Inadequate Network Perimeter Security dan Firewall Rule Management";"Eksternal";"Operasional";"Matriks Firewall Rules & Access Control List (ACL)";"Information";"Complexity dalam managing firewall rules menyebabkan misconfigurations; Absence of firewall rule change management process; Insufficient review procedures; Presence dari unnecessary open ports";"Rapid infrastructure changes tanpa corresponding firewall updates; Lack of automated rule management tools; Inadequate change control procedures; Insufficient auditing";"Unauthorized network access, lateral movement opportunities, data exfiltration, compliance violations, increased attack surface";"Network Intrusion; Lateral Movement; Data Exfiltration; DDoS Attacks; Botnet Infection";"Overly permissive firewall rules; Absence of least-privilege principle; No rule deprecation process; Insufficient logging; Inadequate monitoring";"Basic firewall implementation; Limited rule review";"Kerahasiaan; Ketersediaan";"ISO 27001:2022 A.8.3.2 (Segregation of Networks); A.13.1.3 (Segregation of Networks); A.12.6.1 (Management of Technical Vulnerabilities)";"Keamanan Informasi";"4";"3";"12";"8";"Dampak ≤ 2; Probabilitas ≤ 2";"A.8.3.2; A.13.1.3; A.12.6.1"
"13";"Inadequate SSL/TLS Certificate Management dan Expiration Handling";"Internal";"Operasional";"SSL Sertificate";"Intangible";"Absence of centralized SSL/TLS certificate management system; Inadequate certificate lifecycle tracking; Insufficient certificate renewal procedures; Lack of monitoring untuk expired certificates";"Decentralized certificate management across different teams; Lack of automated certificate renewal systems; Inadequate alerting mechanisms; Limited tooling infrastructure";"Service disruption akibat expired certificates, security warnings di user browsers, potential customer access loss, compliance violations, reputational damage";"Certificate Expiration; Man-in-the-Middle Attacks; User Trust Degradation; Service Unavailability";"Absence of centralized certificate management; No automated renewal; Inadequate tracking; Insufficient monitoring; Weak key management";"Manual certificate tracking; Periodic manual renewal";"Kerahasiaan; Ketersediaan";"ISO 27001:2022 A.10.2.1 (Cryptographic Controls); A.10.3.1 (Cryptographic Key Management); A.12.6.1 (Management of Technical Vulnerabilities)";"Keamanan Informasi & Operasional";"3";"3";"9";"8";"Dampak ≤ 2; Probabilitas ≤ 2";"A.10.2.1; A.10.3.1; A.12.6.1"
"14";"Inadequate Endpoint Security dan Device Management Controls";"Internal";"Kepatuhan";"Endpoint / PC & Laptop";"Hardware";"Absence of comprehensive endpoint protection platform (EPP); Insufficient mobile device management (MDM); Inadequate patch management; Weak device inventory controls";"Decentralized device procurement; Budget constraints untuk enterprise security solutions; Heterogeneous device ecosystem; Inadequate IT governance";"Malware infections, ransomware attacks, data theft, compliance violations, operational disruptions, increased incident response costs";"Malware Infection; Ransomware; Data Theft; Unauthorized Software Installation; Device Compromise";"Missing or outdated antivirus; Unpatched systems; Weak password policies; Absence of device encryption; No remote wipe capabilities";"Basic antivirus; Limited patch management";"Kerahasiaan; Keutuhan; Ketersediaan";"ISO 27001:2022 A.12.2.1 (Controls Against Malware); A.12.6.1 (Management of Technical Vulnerabilities); A.8.1.3 (Acceptable Use of Assets)";"Keamanan Informasi";"4";"4";"16";"8";"Dampak ≤ 3; Probabilitas ≤ 3";"A.12.2.1; A.12.6.1; A.8.1.3"
"15";"Inadequate Identity and Access Management (IAM) Implementation Maturity";"Internal";"Kepatuhan";"Aplikasi/Sistem Identity and Access Management (IAM) & PAM";"Information";"Limited IAM platform capabilities untuk mendukung complex organizational requirements; Inadequate integration dengan legacy systems; Insufficient automation; Weak identity governance";"Legacy infrastructure constraints; Budget limitations untuk modern IAM platform; Organizational restructuring complexity; Inadequate change management procedures";"Unauthorized access, privilege escalation, difficulty dalam compliance reporting, increased incident response complexity, regulatory violations";"Identity Spoofing; Unauthorized Privilege Escalation; Access Provisioning Errors; Credential Theft";"Weak authentication mechanisms; Inadequate authorization controls; Manual access provisioning; Insufficient audit trails; No real-time monitoring";"Basic IAM functionality; Manual processes";"Kerahasiaan; Keutuhan; Ketersediaan";"ISO 27001:2022 A.8.2.1 (User Registration); A.8.2.2 (Privileged Access Rights); A.8.2.3 (Information Access Restriction); A.8.2.4 (Access to Cryptographic Keys)";"Keamanan Informasi";"4";"3";"12";"8";"Dampak ≤ 2; Probabilitas ≤ 2";"A.8.2.1; A.8.2.2; A.8.2.3; A.8.2.4"
"16";"Inadequate Incident Response dan Forensic Capability Implementation";"Internal";"Operasional";"Dokumen Incident Response Plan (IRP) & Forensic Playbooks";"Information";"Absence of comprehensive, regularly tested incident response procedures; Inadequate forensic tools dan capabilities; Insufficient training terhadap incident response team; Lack of clear escalation procedures";"Limited budget allocation untuk incident response infrastructure; Inadequate staffing dalam security operations; Lack of awareness tentang incident response importance; Absence of tabletop exercises";"Extended incident detection dan response time, increased breach damage, loss of forensic evidence, compliance violations, regulatory penalties, reputational damage";"Security Incidents; Data Breaches; Incident Detection Delays; Evidence Loss; Inadequate Breach Notification";"Absence of incident response plan; Limited forensic capabilities; No automated alerting; Insufficient log retention; Lack of team training";"Basic incident procedures; Limited forensic expertise";"Keutuhan; Ketersediaan";"ISO 27001:2022 A.16.1.1 (Planning and Preparing for Information Security Incident Handling and Response); A.16.1.5 (Response to Information Security Incidents)";"Operasional & Keamanan";"5";"3";"15";"6";"Dampak ≤ 2; Probabilitas ≤ 1";"A.16.1.1; A.16.1.5"
"17";"Inadequate Backup dan Disaster Recovery Capability";"Internal";"Operasional";"Data Backup & Restore Point";"Information";"Insufficient backup frequency dan retention periods; Inadequate backup encryption; Limited failover capabilities; Lack of regular restore testing";"Budget constraints untuk backup infrastructure; Inadequate BCP/DRP assessment; Absence of automated backup processes; Limited offsite backup storage";"Data loss, extended recovery time objective (RTO), loss of revenue, customer dissatisfaction, regulatory penalties, potential business closure";"Ransomware Attacks; Hardware Failure; Data Center Disaster; Backup System Compromise; Inadequate Recovery Options";"Insufficient backup copies; No encryption; Absence of geographic diversity; Limited testing; Inadequate access controls";"Basic daily backups; Limited restore testing";"Ketersediaan; Keutuhan";"ISO 27001:2022 A.17.1.1 (Planning Information Security Continuity); A.17.2.1 (Implementing Information Security Continuity); A.8.3.4 (Information and Other Assets Outside the Organization)";"Operasional & Ketersediaan";"5";"2";"10";"6";"Dampak ≤ 2; Probabilitas ≤ 1";"A.17.1.1; A.17.2.1; A.8.3.4"
"18";"Inadequate Third-Party Risk Management dan Vendor Security Assessment";"Eksternal";"Operasional";"Dokumen Kontrak Kerja Sama (PKS) & NDA Vendor";"Information";"Absence of comprehensive vendor security assessment framework; Inadequate contract security clauses; Insufficient ongoing vendor monitoring; Lack of vendor security audit procedures";"Budget optimization focus terhadap vendor selection; Inadequate vendor management governance; Limited resources untuk vendor oversight; Absence of vendor risk scoring mechanism";"Supply chain security vulnerabilities, data breaches melalui vendor compromise, compliance violations, reputational damage, indirect financial losses";"Vendor Security Breaches; Unauthorized Data Access via Vendors; Insecure Data Handling; Vendor Bankruptcy; Geopolitical Constraints";"Weak vendor selection criteria; Inadequate SLA terms; No security audit rights; Insufficient data protection clauses; Limited monitoring";"Basic contract review; Limited vendor monitoring";"Kerahasiaan; Keutuhan; Ketersediaan";"ISO 27001:2022 A.15.1.1 (Information Security Requirements for Supplier Relationships); A.15.2.1 (Addressing Information Security within Supplier Agreements); A.15.2.2 (Information and Communication Technology (ICT) Supply Chain)";"Operasional & Keamanan";"4";"3";"12";"8";"Dampak ≤ 3; Probabilitas ≤ 2";"A.15.1.1; A.15.2.1; A.15.2.2"
"19";"Inadequate Security Awareness dan Phishing Attack Resilience";"Eksternal";"Operasional";"Modul Security Awareness & Hasil Incident Simulation";"Information";"Limited security awareness training program scope dan frequency; Inadequate phishing simulation exercises; Insufficient user education terhadap social engineering tactics";"Resource constraints terhadap training infrastructure; Competing business priorities; Lack of awareness tentang human security importance; Limited training budget allocation";"High phishing click-through rates, credential theft, malware infections, insider threat incidents, compliance violations, financial losses";"Phishing Attacks; Social Engineering; Credential Harvesting; Ransomware Distribution; Business Email Compromise";"Inadequate user security knowledge; Low phishing awareness; Absence of security culture; Limited incident reporting; Weak password practices";"Annual mandatory training; Ad-hoc awareness campaigns";"Kerahasiaan; Keutuhan; Ketersediaan";"ISO 27001:2022 A.6.3.1 (Information Security Awareness and Training); A.6.3.2 (Information Security Competence)";"Sumber Daya Manusia & Keamanan";"4";"4";"16";"8";"Dampak ≤ 3; Probabilitas ≤ 2";"A.6.3.1; A.6.3.2"
"20";"Inadequate Regulatory Compliance Monitoring dan IT Policy Enforcement";"Eksternal";"Kepatuhan";"Dokumen Kebijakan & Strategi Keamanan (ISMS)";"Information";"Absence of formal compliance monitoring framework; Limited regulatory tracking; Inadequate policy audit procedures; Insufficient compliance gap assessment";"Rapid regulatory landscape changes; Limited dedicated compliance resources; Lack of compliance automation tools; Inadequate governance structure";"Regulatory violations, significant financial penalties (GDPR fines hingga 4% revenue), reputational damage, business operational restrictions, potential license revocation";"Regulatory Non-Compliance; Compliance Audit Failures; Policy Violations; Inadequate Audit Trails; Regulatory Penalties";"Absence of compliance monitoring; No automated tracking; Inadequate audit controls; Insufficient documentation; Limited enforcement mechanisms";"Annual compliance audit; Manual compliance tracking";"Keutuhan; Ketersediaan";"ISO 27001:2022 A.5.1.1 (Policies for Information Security); A.5.2.1 (Information Security Roles and Responsibilities); A.18.1.1 (Measurement of Information Security Performance)";"Kepatuhan & Regulasi";"5";"2";"10";"6";"Dampak ≤ 1; Probabilitas ≤ 1";"A.5.1.1; A.5.2.1; A.18.1.1"
